Freebase_ID	Year_of_Birth	Name	Place_of_Birth
#9202a8c04000641f800000000004ba94	1883-06-05	John Maynard Keynes	Cambridge
#9202a8c04000641f8000000005862a05	1890	Margaret Keynes	
#9202a8c04000641f800000000076c308	1852-08-31	John Neville Keynes	Salisbury
#9202a8c04000641f8000000000c85c1a	1861	Florence Ada Keynes	
#9202a8c04000641f8000000000373578	1921-06-17	Quentin Keynes	
#9202a8c04000641f8000000000b40116	1924	Milo Keynes	
#9202a8c04000641f8000000000b3c2e8	1927-10-19	Stephen Keynes	
#9202a8c04000641f8000000000972a59	1948-07-29	Randal Keynes	United Kingdom
#9202a8c04000641f8000000000815cdf	1952-09-23	Simon Keynes	
#9202a8c04000641f8000000009d76cab	1842-01-07	Alexander William Bickerton	Alton
#9202a8c04000641f80000000001fca99	1903-10-06	Ernest Walton	Dungarvan
#9202a8c04000641f800000000021accd	1903-12-05	Cecil Frank Powell	Tonbridge
#9202a8c04000641f80000000004a0720	1863	Alexander MacAuley	
#9202a8c04000641f80000000074dea1f	1883-10-02	Robert William Boyle	Carbonear
#9202a8c04000641f800000000b515bd1	1898-05-01	Nazir Ahmed	Lahore
#9202a8c04000641f8000000000018ec1	1877-09-02	Frederick Soddy	Eastbourne
#9202a8c04000641f800000000013c32a	1891-10-20	James Chadwick	Bollington
#9202a8c04000641f80000000001ce53b	1901-10-08	Mark Oliphant	Kent Town
#9202a8c04000641f80000000001d9e95	1897-11-18	Patrick Blackett, Baron Blackett	London
#9202a8c04000641f80000000001f39cb	1897-05-27	John Cockcroft	Todmorden
#9202a8c04000641f8000000000487c5d	1898-05-01	Henry DeWolf Smyth	Clinton
#9202a8c04000641f800000000050488f	1876-01-01	Harriet Brooks	Exeter, Ontario
#9202a8c04000641f800000000c3f82f5	1900-12-21	Leslie H. Martin	Footscray
#9202a8c04000641f8000000000267d64	1904-02-27	Yulii Borisovich Khariton	
#9202a8c04000641f8000000007668109	1905-01-21	George Laurence	Canada
#9202a8c04000641f800000000038474c	1907-05-17	Philip Moon	Lewisham
#9202a8c04000641f8000000012e75ce9	1893-07-01	Rafi Muhammad Chaudhry	Aligarh
#9202a8c04000641f800000000000417c	1879-03-14	Albert Einstein	Ulm
#9202a8c04000641f8000000000032ef1	1918-05-11	Richard Feynman	Far Rockaway
#9202a8c04000641f800000000016a14c	1855-02-14	Christian Bohr	Copenhagen
#9202a8c04000641f800000000000725b	1922-06-19	Aage Niels Bohr	Copenhagen
#9202a8c04000641f8000000000601943	1894-02-02	Hendrik Anthony Kramers	Rotterdam
#9202a8c04000641f80000000000408b2	1901-12-05	Werner Heisenberg	Würzburg
#9202a8c04000641f800000000004a6a5	1901-02-28	Linus Pauling	Portland
#9202a8c04000641f8000000008619d50	1900-01-01	Robert Bruce Lindsay	New Bedford
#9202a8c04000641f800000001e2d976d		Hugh Brunty	
#9202a8c04000641f800000001e2d9773		Alice McClory	Ireland
#9202a8c04000641f800000001ce3c3de	1776	Elizabeth Branwell	Cornwall
#9202a8c04000641f800000001e083342	1746	Thomas Branwell	
#9202a8c04000641f800000001e083348		Anne Carne	
#9202a8c04000641f80000000001eabcf	1753-06-18	Samuel Galton, Jr.	Duddeston
#9202a8c04000641f800000000faecdee	1639	Lord Charles Howard	
#9202a8c04000641f800000000468056a	1799-08-09	Edward Howard-Gibbons	
#9202a8c04000641f8000000005793e67	1796-11-13	Matthew Howard-Gibbon	
#9202a8c04000641f80000000057ab86b	1785	William Woods	
#9202a8c04000641f8000000000876599	1882-02-02	Joseph Wedderburn	Forfar
#9202a8c04000641f8000000000378a80	1839-03-07	Ludwig Mond	Kassel
#9202a8c04000641f8000000000551614	1860-03-15	Walter Frank Raphael Weldon	Highgate
#9202a8c04000641f80000000005900d4	1904-04-11	Philip Hall	Hampstead
#9202a8c04000641f8000000016b39267		Leon Isserlis	
#9202a8c04000641f800000000879c42d	1773	John Hudson	
#9202a8c04000641f8000000000161134	1801-07-27	George Biddell Airy	Alnwick
#9202a8c04000641f800000000018846b	1908-01-18	Jacob Bronowski	Łódź
#9202a8c04000641f80000000001fcb5b	1908-08-23	J. A. Todd	Liverpool
#9202a8c04000641f800000000016d424	1907-02-09	Harold Scott MacDonald Coxeter	London
#9202a8c04000641f80000000003e255c	1888-01-28	Louis Mordell	Philadelphia
#9202a8c04000641f800000000586292d		Cordelia Marshall	
#9202a8c04000641f80000000003caa9e	1855-08-30	Evelyn De Morgan	
#9202a8c04000641f8000000009603cf9	1803-07-20	John Hymers	Ormesby
#9202a8c04000641f800000000f12430f	1847-12-10	Irving Stringham	Yorkshire
#9202a8c04000641f800000001f7508dc		William Pitt Durfee	Livonia
#9202a8c04000641f80000000045ebd51	1864-04-08	Abala Bose	Barisal District
#9202a8c04000641f800000000b515528	1917-04-15	I. H. Usmani	Aligarh
#9202a8c04000641f800000000030806e	1857-07-11	Joseph Larmor	County Antrim
#9202a8c04000641f800000000033fc62	1856-08-30	Carle David Tolmé Runge	Bremen
#9202a8c04000641f8000000000041899	1900-04-25	Wolfgang Pauli	Vienna
#9202a8c04000641f800000000004db9d	1904-04-22	Robert Oppenheimer	New York City
#9202a8c04000641f800000000010c1ae	1906-06-28	Maria Göppert-Mayer	Katowice
#9202a8c04000641f8000000000135637	1906-09-04	Max Delbrück	Berlin
#9202a8c04000641f80000000001d507e	1896-02-04	Friedrich Hund	Karlsruhe
#9202a8c04000641f8000000000372e6a	1908-09-19	Victor Frederick Weisskopf	Vienna
#9202a8c04000641f80000000004d9b4f	1902-10-18	Pascual Jordan	Hanover
#9202a8c04000641f80000000006c0165	1904-03-20	Walter M. Elsasser	Mannheim
#9202a8c04000641f8000000000f3c5a4	1920-12-17	Herbert S. Green	Ipswich
#9202a8c04000641f8000000007d47f78	1912-03-16	Siegfried Flügge	Dresden
#9202a8c04000641f8000000000d816c2	1916-02-06	John Crank	Lancashire
#9202a8c04000641f8000000000b81ae3	1907-11-17	Samuel Tolansky	Newcastle upon Tyne
#9202a8c04000641f8000000000808851	1905-03-23	John Randall	Newton-le-Willows
#9202a8c04000641f800000000049bbd9	1903-01-28	Kathleen Lonsdale	Newbridge, County Kildare
#9202a8c04000641f8000000000347267	1901-05-10	J. D. Bernal	Nenagh
#9202a8c04000641f800000000082bf0f	1878-06-22	John Burton Cleland	Norwood
#9202a8c04000641f800000000067a259	1902-12-12	J. A. Ratcliffe	Bacup
#9202a8c04000641f8000000000de3a2c	1904-02-14	Charles Oatley	Frome
#9202a8c04000641f800000000023e23e	1892-09-10	Arthur Compton	Wooster
#9202a8c04000641f80000000003b8082	1881-10-22	Clinton Davisson	Bloomington
#9202a8c04000641f8000000015fafa56	1858	Margaret Taylor	
#9202a8c04000641f80000000005cfefa	1920-03-08	George Batchelor	Melbourne
#9202a8c04000641f80000000011c9b6b	1895-12-18	Victor Albert Bailey	Alexandria
#9202a8c04000641f800000000000aab4	1872-05-18	Bertrand Russell	Trellech
#9202a8c04000641f8000000000023d7b	1889-04-26	Ludwig Wittgenstein	Linz
#9202a8c04000641f8000000000018ae1	1899-05-08	Friedrich Hayek	Vienna
#9202a8c04000641f80000000002dda2d	1892-10-21	Lydia Lopokova	Saint Petersburg
#9202a8c04000641f8000000000087b98	1886-09-26	Archibald Hill	Bristol
#9202a8c04000641f8000000000b40f24	1915-07-23	David Keynes Hill	
#9202a8c04000641f8000000000b40fc1	1919-05-29	Maurice Hill	
#9202a8c04000641f8000000000810dca	1914-06-14	Polly Hill	
#9202a8c04000641f800000000faf1ae3		Dr John Keynes	
#9202a8c04000641f800000000faf1ae9		Anna Maynard Neville	
#9202a8c04000641f8000000000c85d6c	1870	Walter Langdon-Brown	
#9202a8c04000641f8000000006edd032	1830	John Brown of Bedford	
#9202a8c04000641f8000000000916adb	1991-09-05	Skandar Keynes	London
#9202a8c04000641f8000000005862a64		Anne Adrian	
#9202a8c04000641f800000000003b0d6	1825-05-04	Thomas Huxley	Ealing
#9202a8c04000641f8000000000197e44	1820-08-02	John Tyndall	Leighlinbridge
#9202a8c04000641f8000000000501821	1928-08-28	M. Govind Kumar Menon	Mangalore
#9202a8c04000641f800000000008c000	1882-09-30	Hans Geiger	Neustadt an der Weinstraße
#9202a8c04000641f80000000007a96f4	1911-04-18	Maurice Goldhaber	Lviv
#9202a8c04000641f80000000007c34bc	1906-04-04	Ernest C. Pollard	Yunnan
#9202a8c04000641f8000000004672372	1916-03-04	Ernest William Titterton	
#9202a8c04000641f80000000008ccf51	1917-07-29	Harry Boot	Birmingham
#9202a8c04000641f8000000015b78707	1923	Tahir Hussain	Aligarh
#9202a8c04000641f8000000000a315c1	1907-09-21	Edward Bullard	Norwich
#9202a8c04000641f8000000008628299	1922-11-19	Keith Runcorn	Southport
#9202a8c04000641f8000000000bf9686	1930-11-03	Ishfaq Ahmad	Gurdaspur
#9202a8c04000641f80000000006ef612	1904-07-27	Kenneth Bainbridge	Cooperstown
#9202a8c04000641f8000000000267cd6	1880-10-29	Abram Ioffe	Romny
#9202a8c04000641f800000000bea1080		Noor Muhammad Butt	Sialkot
#9202a8c04000641f8000000006f71a5a	1881-11-18	Maja Einstein	Munich
#9202a8c04000641f8000000000022162	1906-04-28	Kurt Gödel	Brno
#9202a8c04000641f80000000000157f2	1887-08-12	Erwin Schrödinger	Vienna
#9202a8c04000641f80000000000126f1	1862-01-23	David Hilbert	Kaliningrad
#9202a8c04000641f8000000000016a09	1889-11-20	Edwin Hubble	Marshfield
#9202a8c04000641f8000000018b321ee	1873-09-13	Carathéodory Constantin	Berlin
#9202a8c04000641f800000000477305c	1876-01-18	Elsa Einstein	Hechingen
#9202a8c04000641f80000000001bf76f	1875-12-19	Mileva Marić	Titel
#9202a8c04000641f8000000006eb0f8f	1847-08-30	Hermann Einstein	Buchau
#9202a8c04000641f8000000006f1b5e1	1858-02-08	Pauline Koch	Stuttgart
#9202a8c04000641f8000000000df8c51	1849-04-24	Alfred Kleiner	Maschwanden
#9202a8c04000641f80000000046e28d7	1843-11-07	Heinrich Friedrich Weber	Magdala
#9202a8c04000641f80000000007dd77a	1910-07-28	Eduard Einstein	Zürich
#9202a8c04000641f80000000004e4e33	1904-05-14	Hans Albert Einstein	Berne
#9202a8c04000641f80000000007a55cb	1902-01	Lieserl Einstein	Novi Sad
#9202a8c04000641f800000000006ca31	1898-02-11	Leó Szilárd	Budapest
#9202a8c04000641f800000000032727a	1909-03-22	Nathan Rosen	Brooklyn
#9202a8c04000641f8000000000b0b4b0	1906-01-07	Kurt Mendelssohn	Berlin
#9202a8c04000641f8000000000ee0867	1922-02-25	Ernst G. Straus	Munich
#9202a8c04000641f8000000000129028	1903	Mahmoud Hessaby	Iran
#9202a8c04000641f8000000000eea005	1908-01-08	Raziuddin Siddiqui	Hyderabad
#9202a8c04000641f80000000011bfbad	1928-03-31	Joan Feynman	
#9202a8c04000641f80000000001a2120	1915-01-06	John C. Lilly	Saint Paul
#9202a8c04000641f8000000005c95cb6		Arline Greenbaum	
#9202a8c04000641f8000000005c95cc2		Mary Louise Bell	
#9202a8c04000641f8000000005c95cd0		Gweneth Howarth	
#9202a8c04000641f80000000076c0264		Melville Feynman	Minsk
#9202a8c04000641f80000000076c026a		Lucille Phillips	
#9202a8c04000641f80000000001da38c	1911-07-09	John Archibald Wheeler	Jacksonville
#9202a8c04000641f8000000000e95d4a	1899-02-11	Manuel Vallarta	Mexico City
#9202a8c04000641f80000000001be090	1962-04-22	Carl Feynman	
#9202a8c04000641f80000000047b3568	1968	Michelle Louise Feynman	
#9202a8c04000641f800000000040db5f	1937-05-30	George Zweig	Moscow
#9202a8c04000641f80000000002f3445	1887-04-22	Harald Bohr	Copenhagen
#9202a8c04000641f800000000f93dbdf		Margrethe Bohr	
#9202a8c04000641f800000000008c4d7	1880-01-18	Paul Ehrenfest	Vienna
#9202a8c04000641f80000000004cb102	1910-08-28	Tjalling Koopmans	's-Graveland
#9202a8c04000641f800000000db2a5a3	1921-11-04	George Karreman	Rotterdam
#9202a8c04000641f800000001cd9ccc2	1900-03-10	Erwin Heisenberg	
#9202a8c04000641f800000001641455d	1914	Elisabeth Heisenberg	
#9202a8c04000641f800000001cd9ccb1	1869-11-13	August Heisenberg	Osnabrück
#9202a8c04000641f800000001cd9cd27		Annie Wecklein	
#9202a8c04000641f800000000016a53f	1868-12-05	Arnold Sommerfeld	Kaliningrad
#9202a8c04000641f8000000000017539	1905-10-23	Felix Bloch	Zürich
#9202a8c04000641f800000000004b4e9	1908-01-15	Edward Teller	Budapest
#9202a8c04000641f80000000003fa431	1907-06-05	Rudolf Peierls	Berlin
#9202a8c04000641f8000000000a7b430	1929-06-12	Friedwardt Winterberg	Berlin
#9202a8c04000641f80000000057f8e16	1907-05-31	Hermann Arthur Jahn	Colchester
#9202a8c04000641f80000000006a4448	1912-07-28	Ugo Fano	Turin
#9202a8c04000641f8000000000356999	1873-02-15	Hans von Euler-Chelpin	Augsburg
#9202a8c04000641f80000000163d175d	1909-10-06	Hans Heinrich Euler	Merano
#9202a8c04000641f80000000090c0c4e		Courtland Agre	
#9202a8c04000641f8000000006eee046	1903-12-24	Ava Helen Pauling	Beavercreek
#9202a8c04000641f80000000051687d4		Herman Henry William Pauling	
#9202a8c04000641f80000000051687db		Lucy Isabelle Darling	
#9202a8c04000641f80000000011c3d14	1894-05-03	Roscoe G. Dickinson	Brewer
#9202a8c04000641f8000000000041b9f	1919-12-09	William Lipscomb	Cleveland
#9202a8c04000641f800000000861afe5	1908-12-18	Edgar Bright Wilson	Gallatin
#9202a8c04000641f8000000000580dac	1930-05-24	Matthew Meselson	Denver
#9202a8c04000641f800000001dac61e7		Cyrus Chothia	
#9202a8c04000641f80000000008eaded	1911-08-14	Thomas Barnes	United States of America
#9202a8c04000641f800000001e2e1a20	1745	Margaret Branwell	
#9202a8c04000641f800000001e2e1876	1711	Richard Branwell	
#9202a8c04000641f800000001e2e187d		Margaret John	
#9202a8c04000641f800000001e2e1821		John Carne	
#9202a8c04000641f800000001e2e1827		Ann Reynolds	
#9202a8c04000641f8000000000b4f136	1778-11-25	Mary Anne Schimmelpenninck	
#9202a8c04000641f80000000002115b1	1627-03-09	Thomas Howard, 5th Duke of Norfolk	London
#9202a8c04000641f80000000002ccbe9	1628-07-12	Henry Howard, 6th Duke of Norfolk	
#9202a8c04000641f8000000004735d4e	1608-08-15	Henry Howard, 22nd Earl of Arundel	
#9202a8c04000641f80000000000065da	1818-09-27	Adolph Wilhelm Hermann Kolbe	Göttingen
#9202a8c04000641f80000000000339a1	1811-03-31	Robert Bunsen	Göttingen
#9202a8c04000641f8000000000287d32	1868-10-23	Alfred Mond, 1st Baron Melchett	Farnworth
#9202a8c04000641f8000000000114c70	1851-11-10	Francis Maitland Balfour	Edinburgh
#9202a8c04000641f80000000004685ec	1911-01-19	Garrett Birkhoff	Princeton
#9202a8c04000641f80000000056962d7	1926	James Alexander Green	Rochester
#9202a8c04000641f8000000008bb7454	1924-01-08	Paul Cohn	Hamburg
#9202a8c04000641f80000000046804e6	1756-06-23	Thomas Jones	Beriew
#9202a8c04000641f8000000020669f7a		Rita Coblentz	
#9202a8c04000641f80000000007280c5	1944-04-12	Lisa Jardine	
#9202a8c04000641f80000000000341c9	1931-08-08	Roger Penrose	Colchester
#9202a8c04000641f800000002065a416		Hendrina MacDonald	
#9202a8c04000641f8000000000329d55	1930-11-12	Norman Johnson	
#9202a8c04000641f80000000005b12b0	1922-07-11	J. W. S. Cassels	Durham
#9202a8c04000641f800000000013f36d	1819-06-05	John Couch Adams	Landeast
#9202a8c04000641f800000001583bb81		Kwan-ichi Terazawa	Yonezawa
#9202a8c04000641f80000000000a1664	1815-10-31	Karl Weierstrass	Ennigerloh
#9202a8c04000641f80000000001d21f9	1810-01-29	Ernst Kummer	Żary
#9202a8c04000641f8000000000e94199	1921-01-06	Felix Villars	Biel/Bienne
#9202a8c04000641f80000000047a281c	1911-12-07	Nicholas Kemmer	Saint Petersburg
#9202a8c04000641f8000000008cfbbe6	1922-06-28	Hans Frauenfelder	Schaffhausen
#9202a8c04000641f800000000905f171	1921	Sigurd Zienau	
#9202a8c04000641f80000000074a9e57	1925-01-31	Igal Talmi	Kiev
#9202a8c04000641f8000000013a20a21	1912-06-20	Markus Fierz	Basel
#9202a8c04000641f800000000035a884	1912-08-14	Frank Oppenheimer	New York City
#9202a8c04000641f8000000005b9737d		Julius S. Oppenheimer	
#9202a8c04000641f800000000014b7c0	1917-12-20	David Bohm	Wilkes-Barre
#9202a8c04000641f8000000000255d6a	1913-07-12	Willis Lamb	Los Angeles
#9202a8c04000641f80000000005c366d	1915-11-07	Philip Morrison	Somerville
#9202a8c04000641f80000000046f6772	1914-02-23	George Volkoff	Moscow
#9202a8c04000641f8000000000273020	1848-11-11	Hans Delbrück	Bergen auf Rügen
#9202a8c04000641f800000000a9da3fe		Carolina Thiersch	
